"","Tournament","Team","League","Rank Score","tourn_id","search","Rank"
"151","LCS Proving Grounds Summer 2022","imt-academy",NA,"0.37190243204830536","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",151
"152","LCS Proving Grounds Summer 2022","eg-prodigies",NA,"0.3026803416062378","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",152
"153","LCS Proving Grounds Summer 2022","team-pending",NA,"0.2405908633776436","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",153
"154","LCS Proving Grounds Summer 2022","tsm-academy",NA,"0.09768215546785551","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",154
"155","LCS Proving Grounds Summer 2022","clg-academy",NA,"0.07303614777520961","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",155
"156","LCS Proving Grounds Summer 2022","the-last-dance",NA,"0.043243955430963904","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",156
"157","LCS Proving Grounds Summer 2022","gg-academy",NA,"0.003485831128111855","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",157
"158","LCS Proving Grounds Summer 2022","dk-crew",NA,"0","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",158
"159","LCS Spring 2022","team-liquid","lcs","1","107458367237283414","LCS Spring 2022 (107458367237283414)",159
"160","LCS Spring 2022","evil-geniuses","lcs","0.7474839736178822","107458367237283414","LCS Spring 2022 (107458367237283414)",160
"161","LCS Spring 2022","100-thieves","lcs","0.5530686456228948","107458367237283414","LCS Spring 2022 (107458367237283414)",161
"162","LCS Spring 2022","cloud9","lcs","0.5484917753569114","107458367237283414","LCS Spring 2022 (107458367237283414)",162
"163","LCS Spring 2022","dignitas","lcs","0.4132456036696505","107458367237283414","LCS Spring 2022 (107458367237283414)",163
"164","LCS Spring 2022","clg",NA,"0.32593431682752455","107458367237283414","LCS Spring 2022 (107458367237283414)",164
"165","LCS Spring 2022","flyquest","lcs","0.32307155739376303","107458367237283414","LCS Spring 2022 (107458367237283414)",165
"166","LCS Spring 2022","tsm","lcs","0.2997477443881985","107458367237283414","LCS Spring 2022 (107458367237283414)",166
"167","LCS Spring 2022","golden-guardians","lcs","0.12483158844857281","107458367237283414","LCS Spring 2022 (107458367237283414)",167
"168","LCS Spring 2022","immortals-progressive","lcs","0","107458367237283414","LCS Spring 2022 (107458367237283414)",168
"169","LFL Summer 2022","team-bds-academy","lfl","1","108158179538212767","LFL Summer 2022 (108158179538212767)",169
"170","LFL Summer 2022","vitalitybee","lfl","0.5730105525746036","108158179538212767","LFL Summer 2022 (108158179538212767)",170
"171","LFL Summer 2022","karmine-corp","lfl","0.5538224092545061","108158179538212767","LFL Summer 2022 (108158179538212767)",171
"172","LFL Summer 2022","ldlc-ol","lfl","0","108158179538212767","LFL Summer 2022 (108158179538212767)",172
"173","MSI 2022","g2-esports","lec","1.1322363448182935","107905284983470149","MSI 2022 (107905284983470149)",173
"174","MSI 2022","fastpay-wildcats","turkiye-sampiyonluk-ligi","0.9","107905284983470149","MSI 2022 (107905284983470149)",174
"175","MSI 2022","t1","lck","0.7213666686384876","107905284983470149","MSI 2022 (107905284983470149)",175
"176","MSI 2022","evil-geniuses","lcs","0.5170185474092928","107905284983470149","MSI 2022 (107905284983470149)",176
"177","MSI 2022","order",NA,"0.5167686479746848","107905284983470149","MSI 2022 (107905284983470149)",177
"178","MSI 2022","red-kalunga","cblol-brazil","0.43139317427145324","107905284983470149","MSI 2022 (107905284983470149)",178
"179","MSI 2022","team-aze","lla","0.4049807158668149","107905284983470149","MSI 2022 (107905284983470149)",179
"180","MSI 2022","detonation-focusme","ljl-japan","0.1111543497602917","107905284983470149","MSI 2022 (107905284983470149)",180
"181","MSI 2022","psg-talon","pcs","0","107905284983470149","MSI 2022 (107905284983470149)",181
"182","MSI 2023","t1","lck","1.3420882891799348","110198981276611770","MSI 2023 (110198981276611770)",182
"183","MSI 2023","psg-talon","pcs","1.2","110198981276611770","MSI 2023 (110198981276611770)",183
"184","MSI 2023","cloud9","lcs","0.9313400544198569","110198981276611770","MSI 2023 (110198981276611770)",184
"185","MSI 2023","geng","lck","0.7458559154289319","110198981276611770","MSI 2023 (110198981276611770)",185
"186","MSI 2023","loud","cblol-brazil","0.6136449372057101","110198981276611770","MSI 2023 (110198981276611770)",186
"187","MSI 2023","mad-lions","lec","0.5633502376923529","110198981276611770","MSI 2023 (110198981276611770)",187
"188","MSI 2023","gam-esports","vcs","0.4098326448989503","110198981276611770","MSI 2023 (110198981276611770)",188
"189","MSI 2023","detonation-focusme","ljl-japan","0.34903985775043445","110198981276611770","MSI 2023 (110198981276611770)",189
"190","MSI 2023","rainbow7","lla","0.095928411325234","110198981276611770","MSI 2023 (110198981276611770)",190
"191","MSI 2023","golden-guardians","lcs","0.01072455951540316","110198981276611770","MSI 2023 (110198981276611770)",191
"192","MSI 2023","g2-esports","lec","0","110198981276611770","MSI 2023 (110198981276611770)",192
"193","Main Stage - Spring 2023","geekay-esports","arabian_league","1","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",193
"194","Main Stage - Spring 2023","zero-tenacity","ultraliga","0.8176135080757626","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",194
"195","Main Stage - Spring 2023","macko-esports","pg_nationals","0.5268316856571416","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",195
"196","Main Stage - Spring 2023","fastpay-wildcats","turkiye-sampiyonluk-ligi","0.4984453756331054","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",196
"197","Main Stage - Spring 2023","unicorns-of-love-sexy-edition","primeleague","0.4309180847709607","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",197
"198","Main Stage - Spring 2023","ldlc-ol","lfl","0.4301000935499574","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",198
"199","Main Stage - Spring 2023","movistar-riders","superliga","0.4131994061469385","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",199
"200","Main Stage - Spring 2023","szaty-bobra","ultraliga","0.2804313473903808","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",200
"201","Main Stage - Spring 2023","esuba","hitpoint_masters","0.2453692021990609","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",201
"202","Main Stage - Spring 2023","team-heretics-sl","superliga","0.1728894707575335","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",202
"203","Main Stage - Spring 2023","riddle",NA,"0.15287617374557932","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",203
"204","Main Stage - Spring 2023","aegis","lfl","0.126102134717553","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",204
"205","Main Stage - Spring 2023","anorthosis-famagusta-esports","greek_legends","0.11496875819526055","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",205
"206","Main Stage - Spring 2023","gamersorigin","lfl","0.08838671791932838","110016463793610620","Main Stage - Spring 2023 (110016463793610620)",206
