tournament,team,league,rank,tourn_id
Regional Finals 2023,top-esports,lpl,0,110825936250664572
Season Finals 2023,g2-esports,lec,1,110848560874526298
Season Finals 2023,excel,lec,0.6444707314031065,110848560874526298
Season Finals 2023,sk-gaming,lec,0.5836600488999051,110848560874526298
Season Finals 2023,team-bds,lec,0.5177962007380439,110848560874526298
Season Finals 2023,fnatic,lec,0.503058637730314,110848560874526298
Season Finals 2023,mad-lions,lec,0,110848560874526298
Spring 2022 Main Event,ago-rogue,NA,1,107893386210553711
Spring 2022 Main Event,atleta-esport,pg_nationals,0.6807569817779875,107893386210553711
Spring 2022 Main Event,eintracht-spandau,primeleague,0.5960190304777725,107893386210553711
Spring 2022 Main Event,fnatictq,superliga,0.5910221200260836,107893386210553711
Spring 2022 Main Event,ldlc-ol,lfl,0.5573792632799355,107893386210553711
Spring 2022 Main Event,crvena-zvezda-esports,esports_balkan_league,0.4495908242499197,107893386210553711
Spring 2022 Main Event,team-esca-gaming,ultraliga,0.4368108910554616,107893386210553711
Spring 2022 Main Event,gamerlegion,primeleague,0.34149596119512393,107893386210553711
Spring 2022 Main Event,team-phantasma,greek_legends,0.33563865876714927,107893386210553711
Spring 2022 Main Event,team-bds-academy,lfl,0.3147435461469783,107893386210553711
Spring 2022 Main Event,bisons-eclub,superliga,0.27143732286906064,107893386210553711
Spring 2022 Main Event,bifrost,NA,0.2307750178474443,107893386210553711
Spring 2022 Main Event,x7,NA,0.1898740292537171,107893386210553711
Spring 2022 Main Event,vitalitybee,lfl,0.1335763602636833,107893386210553711
Spring 2022 Main Event,unicorns-of-love-sexy-edition,primeleague,0.0751426900841674,107893386210553711
Spring 2022 Main Event,karmine-corp,lfl,0,107893386210553711
Spring 2022 Play Ins,for-the-win-esports,liga_portuguesa,1,107893136888836553
Spring 2022 Play Ins,macko-esports,pg_nationals,0.8691307522453421,107893136888836553
Spring 2022 Play Ins,entropiq,hitpoint_masters,0.8316391588030381,107893136888836553
Spring 2022 Play Ins,egn-esports,liga_portuguesa,0.7467652227789139,107893136888836553
Spring 2022 Play Ins,bifrost,NA,0.6419721765664803,107893136888836553
Spring 2022 Play Ins,zero-tenacity,ultraliga,0.604807368288432,107893136888836553
Spring 2022 Play Ins,we-love-gaming,greek_legends,0.5996606729633382,107893136888836553
Spring 2022 Play Ins,barca-esports,superliga,0.5883502656043466,107893136888836553
